cellosaurus_accession,id
CVCL_C757,1237
CVCL_M471,1238
CVCL_4666,1239
CVCL_2678,1240
CVCL_2679,1241
CVCL_2680,1242
CVCL_2681,1243
CVCL_1913,1244
CVCL_2686,1245
CVCL_1641,1246
CVCL_3326,1247
CVCL_1642,1248
CVCL_4717,1249
CVCL_6748,1250
CVCL_6749,1251
CVCL_4897,1252
CVCL_4718,1253
CVCL_2161,1254
CVCL_X507,1255
CVCL_S976,1256
CVCL_3567,1257
CVCL_0485,1258
CVCL_5215,1259
CVCL_V626,1260
CVCL_1644,1261
CVCL_3775,1262
CVCL_3143,1263
CVCL_1645,1264
CVCL_0511,1265
CVCL_0597,1266
CVCL_1646,1267
CVCL_1883,1268
CVCL_1647,1269
CVCL_0498,1270
CVCL_1851,1271
CVCL_1648,1272
CVCL_2169,1273
CVCL_1884,1274
CVCL_1650,1275
CVCL_3152,1276
CVCL_4402,1277
CVCL_1651,1278
CVCL_1652,1279
CVCL_1653,1280
CVCL_1654,1281
CVCL_1655,1282
CVCL_3154,1283
CVCL_1656,1284
CVCL_1657,1285
CVCL_1658,1286
CVCL_1659,1287
CVCL_0041,1288
CVCL_2176,1289
CVCL_1885,1290
CVCL_3156,1291
CVCL_3787,1292
CVCL_1660,1293
CVCL_0505,1294
CVCL_1662,1295
CVCL_3158,1296
CVCL_1887,1297
CVCL_1664,1298
CVCL_1665,1299
CVCL_1667,1300
CVCL_1668,1301
CVCL_2182,1302
CVCL_0093,1303
CVCL_1670,1304
CVCL_0036,1305
CVCL_2714,1306
CVCL_1672,1307
CVCL_3791,1308
CVCL_3793,1309
CVCL_1674,1310
CVCL_H589,1311
CVCL_WS60,1312
CVCL_0548,1313
CVCL_5G89,1314
CVCL_1675,1315
CVCL_3160,1316
CVCL_1676,1317
CVCL_1678,1318
CVCL_1679,1319
CVCL_1888,1320
CVCL_3599,1321
CVCL_1681,1322
CVCL_1682,1323
CVCL_1683,1324
CVCL_1684,1325
CVCL_1685,1326
CVCL_3161,1327
CVCL_1687,1328
CVCL_0024,1329
CVCL_2186,1330
CVCL_0095,1331
CVCL_2187,1332
CVCL_1688,1333
CVCL_V613,1334
CVCL_6950,1335
CVCL_K085,1336
CVCL_5167,1337
CVCL_1692,1338
CVCL_0019,1339
CVCL_1693,1340
CVCL_1694,1341
CVCL_0032,1342
CVCL_1695,1343
CVCL_2193,1344
CVCL_1441,1345
CVCL_1442,1346
CVCL_1443,1347
CVCL_1444,1348
CVCL_1445,1349
CVCL_8822,1350
CVCL_8823,1351
CVCL_8824,1352
CVCL_1697,1353
CVCL_0033,1354
CVCL_5217,1355
CVCL_5218,1356
